	embedding	embedding_weak	proba	proba_weak
embedding	1.0	0.0009765625	0.0009765625	0.0009765625
embedding_weak	0.0009765625	1.0	0.0033330958601711347	0.0033330958601711347
proba	0.0009765625	0.0033330958601711347	1.0	0.18753945080838075
proba_weak	0.0009765625	0.0033330958601711347	0.18753945080838075	1.0
