f1_micro	f1_micro_oob	f1_macro	f1_macro_oob	f1_weighted	f1_weighted_oob	f1_samples	f1_samples_oob	precision_micro	precision_micro_oob	precision_macro	precision_macro_oob	precision_weighted	precision_weighted_oob	precision_samples	precision_samples_oob	recall_micro	recall_micro_oob	recall_macro	recall_macro_oob	recall_weighted	recall_weighted_oob	recall_samples	recall_samples_oob	jaccard_micro	jaccard_micro_oob	jaccard_macro	jaccard_macro_oob	jaccard_weighted	jaccard_weighted_oob	jaccard_samples	jaccard_samples_oob	matthews_corrcoef_micro	matthews_corrcoef_micro_oob	matthews_corrcoef_macro	matthews_corrcoef_macro_oob	matthews_corrcoef_weighted	matthews_corrcoef_weighted_oob	matthews_corrcoef_samples	matthews_corrcoef_samples_oob	average_precision_micro	average_precision_micro_oob	average_precision_macro	average_precision_macro_oob	average_precision_weighted	average_precision_weighted_oob	average_precision_samples	average_precision_samples_oob	roc_auc_micro	roc_auc_micro_oob	roc_auc_macro	roc_auc_macro_oob	roc_auc_weighted	roc_auc_weighted_oob	roc_auc_samples	roc_auc_samples_oob	neg_hamming_loss_micro	neg_hamming_loss_micro_oob	neg_hamming_loss_macro	neg_hamming_loss_macro_oob	neg_hamming_loss_weighted	neg_hamming_loss_weighted_oob	neg_hamming_loss_samples	neg_hamming_loss_samples_oob	label_ranking_average_precision_score	label_ranking_average_precision_score_oob	neg_label_ranking_loss	neg_label_ranking_loss_oob	neg_coverage_error	neg_coverage_error_oob	ndgc	ndgc_oob	fold	level	tn	fp	fn	tp
0.9246025621237846		0.9246025621237847		0.7983802333562113		0.9246025621237846		0.9246025621237846		0.9246025621237847		0.7983802333562113		0.9246025621237846		0.9246025621237846		0.9246025621237847		0.7983802333562113		0.9246025621237846		0.8597775385719412		0.8714034067040841		0.6828097812222248		0.8624473629755814		0.40044489007489525		0.07047875333526037		0.21508153898043658		0.34712468592762535		0.5784548733666233		0.2944270745507688		0.5578058932014613		0.6652607417170598		0.8886109270297454		0.7589344577453272		0.7929684074099119		0.8906098029213516		-0.07539743787621546		-0.07539743787621546		-0.20161976664378864		-0.07539743787621546		0.6652607417170598		-0.10939019707864858		-12.457478005865102		0.8065699670409938		0	0	47257	0	908	0
0.9238308380922982		0.923830838092298		0.8037736319960067		0.923830838092298		0.9238308380922982		0.923830838092298		0.8037736319960067		0.923830838092298		0.9238308380922982		0.923830838092298		0.8037736319960067		0.923830838092298		0.8584438866977411		0.8687259768274689		0.6891726686226125		0.8617179485433231		0.4328793535971839		0.13693168833855907		0.2819347086614808		0.41992228554066363		0.5337237677922059		0.27384787489806806		0.5554121498330048		0.6709686342139838		0.8904426319201301		0.7536165683647088		0.7955257274179808		0.8941501203633204		-0.0761691619077018		-0.07616916190770179		-0.19622636800399326		-0.07616916190770179		0.6709686342139841		-0.10584987963667934		-11.976539589442815		0.8100234291560838		0	1	46443	814	762	146
0.914801666923908		0.9148016669239077		0.8043501591065079		0.914801666923908		0.914801666923908		0.9148016669239077		0.8043501591065079		0.914801666923908		0.914801666923908		0.9148016669239077		0.8043501591065079		0.914801666923908		0.8429810837718674		0.8517914279426353		0.6883332111816074		0.8469973620864345		0.40903122016720533		0.15348068076545257		0.29614357352675		0.421173449546883		0.4547775492812548		0.2634015783787584		0.544624066954859		0.6347238915210054		0.8762277785702807		0.7365761285597043		0.7861978464118825		0.8789632827276047		-0.085198333076092		-0.08519833307609198		-0.19564984089349222		-0.08519833307609198		0.634723891521005		-0.1210506818024889		-12.841642228739003		0.7873061774582686		0	2	45715	1542	715	193
0.9041518752893966		0.9041518752893966		0.7997079927622137		0.9041518752893963		0.9041518752893966		0.9041518752893966		0.7997079927622137		0.9041518752893963		0.9041518752893966		0.9041518752893966		0.7997079927622137		0.9041518752893963		0.8250704225352112		0.8330338156161446		0.6809603720093312		0.830078886275078		0.38347280765087294		0.17076421762785823		0.29986687517788085		0.4017394574802917		0.40077743356332196		0.2494242157133683		0.532802095816663		0.6051746017791133		0.8657571221431526		0.7348489159179833		0.7800973233852141		0.8684001528125721		-0.09584812471060349		-0.09584812471060347		-0.20029200723778626		-0.09584812471060349		0.605174601779113		-0.13177857987085048		-13.234604105571847		0.7661417748482598		0	3	45082	2175	688	220
0.8960487729587899		0.8960487729587898		0.7986996942659261		0.8960487729587898		0.8960487729587899		0.8960487729587898		0.7986996942659261		0.8960487729587898		0.8960487729587899		0.8960487729587898		0.7986996942659261		0.8960487729587898		0.811674239776302		0.8188293171056321		0.6784170150316035		0.8181197982731717		0.3669872105488936		0.171735249026107		0.3073015884998462		0.3954232654520941		0.36660421047733616		0.24487820415547926		0.5275167159621121		0.5901792551119859		0.8577784438814664		0.7280066945523715		0.7767069798086074		0.8621623426576442		-0.10395122704121006		-0.10395122704121004		-0.20130030573407376		-0.10395122704121006		0.5901792551119855		-0.13792470929190112		-13.451612903225806		0.7551143348326168		0	4	44650	2607	667	241
0.8904923599320883		0.8904923599320882		0.7969326761090659		0.8904923599320882		0.8904923599320883		0.8904923599320882		0.7969326761090659		0.8904923599320882		0.8904923599320883		0.8904923599320882		0.7969326761090659		0.8904923599320882		0.8026013771996939		0.8092419067068951		0.6750045284031871		0.8094443930805015		0.35765244368363924		0.17967629806794397		0.31150394486141236		0.3831001595322243		0.3463970263263375		0.2386202085129334		0.5242675588606533		0.5788916420733997		0.852801421449221		0.7250039183257971		0.7734453710799477		0.8569766282613517		-0.10950764006791172		-0.1095076400679117		-0.20306732389093407		-0.10950764006791171		0.5788916420733997		-0.14350638252494097		-13.741935483870968		0.7473512456699433		0	5	44322	2935	654	254
0.8865565673715079		0.8865565673715081		0.7975641105634242		0.8865565673715078		0.8865565673715079		0.8865565673715081		0.7975641105634242		0.8865565673715078		0.8865565673715079		0.8865565673715081		0.7975641105634242		0.8865565673715078		0.7962295536456889		0.8022966601909505		0.6752546373743792		0.8034029131934829		0.35073667519160456		0.18271366672821704		0.32027065992901094		0.38156647044068426		0.33662926338472654		0.23978660946497354		0.5224604043437704		0.5790760986706147		0.8490530352960721		0.7196193604178135		0.7722979871829384		0.8551369324812331		-0.11344343262849205		-0.11344343262849205		-0.20243588943657576		-0.11344343262849205		0.5790760986706143		-0.14511836241865167		-13.788856304985337		0.7477924393752378		0	6	44093	3164	645	263
0.8813088439574008		0.881308843957401		0.7948586759842764		0.8813088439574007		0.8813088439574008		0.881308843957401		0.7948586759842764		0.8813088439574007		0.8813088439574008		0.881308843957401		0.7948586759842764		0.8813088439574007		0.78780353200883		0.79353145504025		0.6708809813651551		0.7953605951667714		0.3426885178151458		0.1771120798516451		0.31708616516211935		0.3755789797756158		0.32945901657395615		0.2343550759066221		0.5218134091992995		0.5697099003457331		0.8467860838098884		0.7180932988003462		0.7719125390605442		0.8532487005474494		-0.11869115604259917		-0.11869115604259915		-0.20514132401572346		-0.11869115604259917		0.5697099003457327		-0.14717706126620694		-13.730205278592376		0.7422877513196141		0	7	43891	3366	636	272
0.8789164994597932		0.8789164994597932		0.7965408373369938		0.8789164994597932		0.8789164994597932		0.8789164994597932		0.7965408373369938		0.8789164994597932		0.8789164994597932		0.8789164994597932		0.7965408373369938		0.8789164994597932		0.7839884353273215		0.7892431959281747		0.6723017399079451		0.7920567426585577		0.3409990759243307		0.17693945316370518		0.32198431333183053		0.3775744695287213		0.3273536030463131		0.24403416221250648		0.5252802395728922		0.5675590317030548		0.8440356734639338		0.7157978514543688		0.7708973156997504		0.8482829935002045		-0.12108350054020682		-0.1210835005402068		-0.20345916266300615		-0.1210835005402068		0.5675590317030543		-0.15204521262895462		-14.058651026392962		0.7415601467141509		0	8	43724	3533	628	280
0.8762154653495909		0.8762154653495908		0.7938029575092032		0.8762154653495908		0.8762154653495909		0.8762154653495908		0.7938029575092032		0.8762154653495908		0.8762154653495909		0.8762154653495908		0.7938029575092032		0.8762154653495908		0.7797005905782173		0.7849605658182879		0.668878391969315		0.7880367718711637		0.33631480698781746		0.17826849930168817		0.32066291076769865		0.3737550963611009		0.3230601754771003		0.2434939947825738		0.5255399457073799		0.5688836231073285		0.8427986587239821		0.7173848363932809		0.7717222390926844		0.8483512063111316		-0.12378453465040902		-0.12378453465040899		-0.2061970424907968		-0.123784534650409		0.5688836231073282		-0.1520145178244303		-14.134897360703812		0.7441272762678932		0	9	43599	3658	624	284
0.9249884241395278		0.9249884241395279		0.8010432395332876		0.9249884241395275		0.9249884241395278		0.9249884241395279		0.8010432395332876		0.9249884241395275		0.9249884241395278		0.9249884241395279		0.8010432395332876		0.9249884241395275		0.8604450825556353		0.8717885379359667		0.6856572991758809		0.8630916798794113		0.4052016344727293		0.070423275408855		0.21789725735578158		0.3382103475507942		0.585501106062722		0.2916712675343729		0.5674840192138729		0.66636764339425		0.8896108168818764		0.7636248449209619		0.7991939259999619		0.8916435788679961		-0.0750115758604723		-0.07501157586047227		-0.19895676046671246		-0.07501157586047229		0.6663676433942498		-0.10835642113200382		-12.428152492668621		0.8073850380717847		1	0	47257	0	902	0
0.9252199413489736		0.9252199413489733		0.8099631871217321		0.9252199413489736		0.9252199413489736		0.9252199413489733		0.8099631871217321		0.9252199413489736		0.9252199413489736		0.9252199413489733		0.8099631871217321		0.9252199413489736		0.8608458390177354		0.8704661085673078		0.6966488955332877		0.8640298472280679		0.4461612509444253		0.13331061791687512		0.29064418904704714		0.43146597289782085		0.545817777547099		0.2788900689748402		0.5676300289423358		0.6761648684377471		0.8926965101182555		0.7581558850799962		0.8007896079141815		0.8961465577314516		-0.0747800586510264		-0.07478005865102637		-0.19003681287826793		-0.0747800586510264		0.6761648684377468		-0.10385344226854834		-11.8475073313783		0.8111224249819305		1	1	46511	746	760	142
0.9196635283222719		0.919663528322272		0.8109390403693767		0.9196635283222718		0.9196635283222719		0.919663528322272		0.8109390403693767		0.9196635283222718		0.9196635283222719		0.919663528322272		0.8109390403693767		0.9196635283222718		0.8512750910779341		0.8599684258024588		0.6968576335616704		0.8549433398598939		0.43606267974162666		0.1570886736807399		0.3106524732322528		0.4378550798941332		0.4707466101989383		0.26922271127469477		0.5543252158692693		0.6405528983382468		0.8826762681901983		0.7461154492196139		0.7931306532361184		0.8846728700671411		-0.08033647167772805		-0.08033647167772803		-0.18906095963062333		-0.08033647167772803		0.6405528983382465		-0.11535318507632383		-12.299120234604105		0.7873820466795648		1	2	45806	1451	699	203
