	embedding__1	embedding__10	embedding__2	embedding__3	embedding__4	embedding__5	embedding__6	embedding__7	embedding__8	embedding__9
embedding__1	1.0	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625
embedding__10	0.015625	1.0	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625
embedding__2	0.015625	0.015625	1.0	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625
embedding__3	0.015625	0.015625	0.015625	1.0	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625
embedding__4	0.015625	0.015625	0.015625	0.015625	1.0	0.015625	0.015625	0.015625	0.015625	0.015625
embedding__5	0.015625	0.015625	0.015625	0.015625	0.015625	1.0	0.015625	0.015625	0.015625	0.015625
embedding__6	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	1.0	0.015625	0.015625	0.015625
embedding__7	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	1.0	0.015625	0.015625
embedding__8	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	1.0	0.015625
embedding__9	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	0.015625	1.0
