	embedding__1	embedding__10	embedding__2	embedding__3	embedding__4	embedding__5	embedding__6	embedding__7	embedding__8	embedding__9
embedding__1	1.0	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712
embedding__10	0.020089285714285712	1.0	0.020089285714285712	0.028233610205224587	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712
embedding__2	0.020089285714285712	0.020089285714285712	1.0	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712
embedding__3	0.020089285714285712	0.028233610205224587	0.020089285714285712	1.0	0.3036221590909091	0.3036221590909091	0.3036221590909091	0.052734375	0.036057692307692304	0.036057692307692304
embedding__4	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.3036221590909091	1.0	0.9375	0.0589010398092008	0.036057692307692304	0.020089285714285712	0.020089285714285712
embedding__5	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.3036221590909091	0.9375	1.0	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712
embedding__6	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.3036221590909091	0.0589010398092008	0.020089285714285712	1.0	0.020089285714285712	0.020089285714285712	0.020089285714285712
embedding__7	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.052734375	0.036057692307692304	0.020089285714285712	0.020089285714285712	1.0	0.020089285714285712	0.020089285714285712
embedding__8	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.036057692307692304	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	1.0	0.020089285714285712
embedding__9	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.036057692307692304	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	0.020089285714285712	1.0
