	embedding__1	embedding__10	embedding__2	embedding__3	embedding__4	embedding__5	embedding__6	embedding__7	embedding__8	embedding__9
embedding__1	1.0	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353
embedding__10	0.02068014705882353	1.0	0.02068014705882353	0.029040284782516718	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353
embedding__2	0.02068014705882353	0.02068014705882353	1.0	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353
embedding__3	0.02068014705882353	0.029040284782516718	0.02068014705882353	1.0	0.3036221590909091	0.3036221590909091	0.3036221590909091	0.052734375	0.03700657894736842	0.03700657894736842
embedding__4	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.3036221590909091	1.0	0.9375	0.3036221590909091	0.052734375	0.03700657894736842	0.02068014705882353
embedding__5	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.3036221590909091	0.9375	1.0	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353
embedding__6	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.3036221590909091	0.3036221590909091	0.02068014705882353	1.0	0.02068014705882353	0.02068014705882353	0.02068014705882353
embedding__7	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.052734375	0.052734375	0.02068014705882353	0.02068014705882353	1.0	0.02068014705882353	0.02068014705882353
embedding__8	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.03700657894736842	0.03700657894736842	0.02068014705882353	0.02068014705882353	0.02068014705882353	1.0	0.02068014705882353
embedding__9	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.03700657894736842	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	0.02068014705882353	1.0
