	embedding	embedding_weak	embedding_weak_chi2	proba	proba_weak
embedding	1.0	0.9	0.9	0.803398569773214	0.9
embedding_weak	0.9	1.0	0.9	0.4374208033177789	0.9
embedding_weak_chi2	0.9	0.9	1.0	0.39389739712745653	0.9
proba	0.803398569773214	0.4374208033177789	0.39389739712745653	1.0	0.7632651133889768
proba_weak	0.9	0.9	0.9	0.7632651133889768	1.0
