	embedding_weak_chi2	proba_weak	embedding_weak	proba	embedding
embedding_weak_chi2	1.0	0.04090200577890224	0.9	0.37443682752940766	0.9
proba_weak	0.04090200577890224	1.0	0.022660626220582847	0.8378224470053398	0.011995854551952512
embedding_weak	0.9	0.022660626220582847	1.0	0.2659180922614556	0.9
proba	0.37443682752940766	0.8378224470053398	0.2659180922614556	1.0	0.17946626445912217
embedding	0.9	0.011995854551952512	0.9	0.17946626445912217	1.0
