	proba__1	proba__10	proba__2	proba__3	proba__4	proba__5	proba__6	proba__7	proba__8	proba__9
proba__1	1.0	0.06392045454545454	0.3125	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
proba__10	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
proba__2	0.3125	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
proba__3	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
proba__4	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
proba__5	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454
proba__6	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454	0.06392045454545454
proba__7	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454	0.06392045454545454
proba__8	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0	0.06392045454545454
proba__9	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	0.06392045454545454	1.0
