	proba__1	proba__10	proba__2	proba__3	proba__4	proba__5	proba__6	proba__7	proba__8	proba__9
proba__1	1.0	0.078125	0.078125	0.140625	0.078125	0.078125	0.078125	0.078125	0.078125	0.078125
proba__10	0.078125	1.0	0.078125	0.078125	0.078125	0.078125	0.078125	0.078125	0.140625	0.3270348837209302
proba__2	0.078125	0.078125	1.0	0.625	0.3270348837209302	0.140625	0.078125	0.078125	0.078125	0.078125
proba__3	0.140625	0.078125	0.625	1.0	0.078125	0.078125	0.078125	0.078125	0.078125	0.078125
proba__4	0.078125	0.078125	0.3270348837209302	0.078125	1.0	0.140625	0.078125	0.078125	0.078125	0.078125
proba__5	0.078125	0.078125	0.140625	0.078125	0.140625	1.0	0.078125	0.078125	0.078125	0.078125
proba__6	0.078125	0.078125	0.078125	0.078125	0.078125	0.078125	1.0	0.4474431818181818	0.078125	0.078125
proba__7	0.078125	0.078125	0.078125	0.078125	0.078125	0.078125	0.4474431818181818	1.0	0.3270348837209302	0.078125
proba__8	0.078125	0.140625	0.078125	0.078125	0.078125	0.078125	0.078125	0.3270348837209302	1.0	0.078125
proba__9	0.078125	0.3270348837209302	0.078125	0.078125	0.078125	0.078125	0.078125	0.078125	0.078125	1.0
