	proba__1	proba__10	proba__2	proba__3	proba__4	proba__5	proba__6	proba__7	proba__8	proba__9
proba__1	1.0	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.140625	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351
proba__10	0.07601351351351351	1.0	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351
proba__2	0.07601351351351351	0.07601351351351351	1.0	0.31960227272727276	0.31960227272727276	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351
proba__3	0.07601351351351351	0.07601351351351351	0.31960227272727276	1.0	1.0	0.31960227272727276	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351
proba__4	0.140625	0.07601351351351351	0.31960227272727276	1.0	1.0	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351
proba__5	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.31960227272727276	0.07601351351351351	1.0	0.140625	0.07601351351351351	0.07601351351351351	0.07601351351351351
proba__6	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.140625	1.0	0.140625	0.07601351351351351	0.07601351351351351
proba__7	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.140625	1.0	0.07601351351351351	0.07601351351351351
proba__8	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	1.0	0.20579268292682928
proba__9	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.07601351351351351	0.20579268292682928	1.0
