	embedding	embedding_weak	proba	proba_weak
embedding	1.0	1.0	0.09375	0.09375
embedding_weak	1.0	1.0	0.09375	0.09375
proba	0.09375	0.09375	1.0	0.975
proba_weak	0.09375	0.09375	0.975	1.0
