	embedding_weak_chi2	proba_weak	embedding_weak	proba	embedding
embedding_weak_chi2	1.0	0.17946626445912217	0.9	0.011995854551952512	0.9
proba_weak	0.17946626445912217	1.0	0.11540030298827397	0.8378224470053398	0.610810259022071
embedding_weak	0.9	0.11540030298827397	1.0	0.006071443763657536	0.8378224470053395
proba	0.011995854551952512	0.8378224470053398	0.006071443763657536	1.0	0.1154003029882752
embedding	0.9	0.610810259022071	0.8378224470053395	0.1154003029882752	1.0
