fold	level	tn	fp	fn	tp
0	0	1130833	27210	2117	1507
0	1	1115611	42432	1991	1633
0	2	1105195	52848	1905	1719
0	3	1096502	61541	1870	1754
0	4	1089457	68586	1834	1790
0	5	1085057	72986	1806	1818
0	6	1080444	77599	1783	1841
0	7	1076390	81653	1774	1850
0	8	1072875	85168	1763	1861
0	9	1069610	88433	1750	1874
1	0	1131248	26795	2089	1499
1	1	1115112	42931	1921	1667
1	2	1105245	52798	1862	1726
1	3	1095314	62729	1810	1778
1	4	1088313	69730	1778	1810
1	5	1083039	75004	1753	1835
1	6	1078632	79411	1722	1866
1	7	1075278	82765	1712	1876
1	8	1072470	85573	1702	1886
1	9	1070235	87808	1697	1891
2	0	1131598	26445	2083	1468
2	1	1115491	42552	1930	1621
2	2	1105899	52144	1858	1693
2	3	1097237	60806	1798	1753
2	4	1090412	67631	1773	1778
2	5	1085383	72660	1746	1805
2	6	1080006	78037	1719	1832
2	7	1075528	82515	1701	1850
2	8	1071825	86218	1692	1859
2	9	1068567	89476	1686	1865
3	0	1131386	26657	2046	1469
3	1	1115682	42361	1879	1636
3	2	1104710	53333	1806	1709
3	3	1096027	62016	1744	1771
3	4	1088054	69989	1714	1801
3	5	1082754	75289	1691	1824
3	6	1077763	80280	1671	1844
3	7	1073629	84414	1656	1859
3	8	1070551	87492	1647	1868
3	9	1068304	89739	1638	1877
4	0	1132192	25851	2076	1408
4	1	1115870	42173	1928	1556
4	2	1105306	52737	1853	1631
4	3	1096467	61576	1813	1671
4	4	1089007	69036	1775	1709
4	5	1082058	75985	1738	1746
4	6	1075942	82101	1709	1775
4	7	1071518	86525	1696	1788
4	8	1067747	90296	1685	1799
4	9	1064729	93314	1678	1806
