fold	level	tn	fp	fn	tp
0	0	23575	22	2005	49
0	1	23563	34	1975	79
0	2	23546	51	1963	91
0	3	23524	73	1946	108
0	4	23504	93	1934	120
0	5	23478	119	1927	127
0	6	23441	156	1923	131
0	7	23422	175	1918	136
0	8	23414	183	1915	139
0	9	23409	188	1906	148
1	0	23569	28	1995	58
1	1	23563	34	1977	76
1	2	23556	41	1963	90
1	3	23546	51	1954	99
1	4	23534	63	1947	106
1	5	23517	80	1938	115
1	6	23503	94	1927	126
1	7	23486	111	1924	129
1	8	23475	122	1918	135
1	9	23458	139	1912	141
2	0	23577	20	1996	53
2	1	23561	36	1972	77
2	2	23549	48	1961	88
2	3	23541	56	1951	98
2	4	23523	74	1938	111
2	5	23500	97	1932	117
2	6	23453	144	1922	127
2	7	23428	169	1913	136
2	8	23413	184	1904	145
2	9	23401	196	1894	155
3	0	23573	24	1994	50
3	1	23554	43	1979	65
3	2	23530	67	1966	78
3	3	23512	85	1951	93
3	4	23479	118	1940	104
3	5	23449	148	1935	109
3	6	23416	181	1923	121
3	7	23393	204	1913	131
3	8	23373	224	1904	140
3	9	23355	242	1900	144
4	0	23578	19	1989	52
4	1	23561	36	1975	66
4	2	23547	50	1965	76
4	3	23533	64	1955	86
4	4	23511	86	1948	93
4	5	23494	103	1945	96
4	6	23448	149	1939	102
4	7	23425	172	1931	110
4	8	23408	189	1926	115
4	9	23394	203	1914	127
