fold	level	tn	fp	fn	tp
0	0	15406317	118581	55571	6087
0	1	15236049	288849	54171	7487
0	2	15003676	521222	53071	8587
0	3	14798550	726348	52209	9449
0	4	14629082	895816	51480	10178
0	5	14500872	1024026	50955	10703
0	6	14396655	1128243	50528	11130
0	7	14316053	1208845	50175	11483
0	8	14246222	1278676	49894	11764
0	9	14193956	1330942	49667	11991
1	0	15400720	124178	55354	6121
1	1	15234237	290661	53986	7489
1	2	15012189	512709	52955	8520
1	3	14816836	708062	52170	9305
1	4	14658031	866867	51498	9977
1	5	14532033	992865	50966	10509
1	6	14432969	1091929	50534	10941
1	7	14350393	1174505	50178	11297
1	8	14282056	1242842	49868	11607
1	9	14222444	1302454	49644	11831
2	0	15404899	119999	55204	6069
2	1	15248481	276417	54001	7272
2	2	15043394	481504	53139	8134
2	3	14856845	668053	52454	8819
2	4	14711824	813074	51857	9416
2	5	14594434	930464	51360	9913
2	6	14498659	1026239	50954	10319
2	7	14414795	1110103	50641	10632
2	8	14343506	1181392	50317	10956
2	9	14286951	1237947	50084	11189
3	0	15400187	124711	54927	6129
3	1	15237851	287047	53692	7364
3	2	15018303	506595	52739	8317
3	3	14827408	697490	51885	9171
3	4	14665374	859524	51155	9901
3	5	14543596	981302	50586	10470
3	6	14443685	1081213	50113	10943
3	7	14359234	1165664	49719	11337
3	8	14287744	1237154	49398	11658
3	9	14229022	1295876	49135	11921
4	0	15397814	127084	54713	6142
4	1	15232541	292357	53441	7414
4	2	15014022	510876	52412	8443
4	3	14813639	711259	51616	9239
4	4	14659979	864919	50984	9871
4	5	14533320	991578	50451	10404
4	6	14432026	1092872	50072	10783
4	7	14346766	1178132	49682	11173
4	8	14280626	1244272	49380	11475
4	9	14223997	1300901	49108	11747
