fold	level	tn	fp	fn	tp
0	0	11335	266	90	49
0	1	11157	444	69	70
0	2	10994	607	67	72
0	3	10851	750	61	78
0	4	10719	882	59	80
0	5	10609	992	58	81
0	6	10497	1104	56	83
0	7	10398	1203	53	86
0	8	10308	1293	52	87
0	9	10238	1363	51	88
1	0	11350	251	87	47
1	1	11172	429	72	62
1	2	11021	580	69	65
1	3	10870	731	66	68
1	4	10753	848	64	70
1	5	10646	955	63	71
1	6	10560	1041	62	72
1	7	10507	1094	61	73
1	8	10453	1148	60	74
1	9	10391	1210	60	74
2	0	11344	257	79	52
2	1	11152	449	71	60
2	2	10982	619	64	67
2	3	10842	759	63	68
2	4	10741	860	58	73
2	5	10617	984	55	76
2	6	10524	1077	54	77
2	7	10437	1164	53	78
2	8	10338	1263	52	79
2	9	10257	1344	50	81
3	0	11364	237	76	51
3	1	11170	431	69	58
3	2	11011	590	69	58
3	3	10859	742	65	62
3	4	10716	885	62	65
3	5	10598	1003	58	69
3	6	10491	1110	58	69
3	7	10413	1188	57	70
3	8	10340	1261	54	73
3	9	10260	1341	51	76
4	0	11376	225	82	41
4	1	11190	411	73	50
4	2	11031	570	64	59
4	3	10888	713	61	62
4	4	10750	851	58	65
4	5	10642	959	55	68
4	6	10550	1051	53	70
4	7	10475	1126	51	72
4	8	10387	1214	50	73
4	9	10319	1282	49	74
