fold	level	tn	fp	fn	tp
0	0	15404573	120325	55499	6159
0	1	15235916	288982	54108	7550
0	2	15024246	500652	53113	8545
0	3	14831223	693675	52261	9397
0	4	14672845	852053	51556	10102
0	5	14551612	973286	51000	10658
0	6	14449785	1075113	50601	11057
0	7	14370525	1154373	50270	11388
0	8	14307153	1217745	49997	11661
0	9	14254831	1270067	49789	11869
1	0	15401087	123811	55298	6177
1	1	15229471	295427	53847	7628
1	2	15011658	513240	52882	8593
1	3	14812607	712291	52137	9338
1	4	14655603	869295	51427	10048
1	5	14525287	999611	50884	10591
1	6	14421291	1103607	50449	11026
1	7	14330544	1194354	50047	11428
1	8	14257664	1267234	49711	11764
1	9	14198085	1326813	49435	12040
2	0	15405712	119186	55180	6093
2	1	15235295	289603	53834	7439
2	2	15022627	502271	52974	8299
2	3	14836648	688250	52189	9084
2	4	14679304	845594	51485	9788
2	5	14548867	976031	50932	10341
2	6	14441606	1083292	50472	10801
2	7	14356569	1168329	50103	11170
2	8	14278927	1245971	49814	11459
2	9	14210785	1314113	49456	11817
3	0	15400029	124869	54996	6060
3	1	15234186	290712	53709	7347
3	2	15013737	511161	52819	8237
3	3	14815107	709791	51945	9111
3	4	14654732	870166	51159	9897
3	5	14525160	999738	50589	10467
3	6	14423503	1101395	50176	10880
3	7	14340219	1184679	49789	11267
3	8	14272349	1252549	49524	11532
3	9	14214574	1310324	49311	11745
4	0	15400279	124619	54800	6055
4	1	15242060	282838	53575	7280
4	2	15024902	499996	52541	8314
4	3	14827286	697612	51740	9115
4	4	14673156	851742	51069	9786
4	5	14551197	973701	50537	10318
4	6	14448001	1076897	50104	10751
4	7	14361188	1163710	49703	11152
4	8	14290730	1234168	49411	11444
4	9	14230358	1294540	49172	11683
