fold	level	tn	fp	fn	tp
0	0	11836	21	303	217
0	1	11828	29	265	255
0	2	11824	33	256	264
0	3	11824	33	253	267
0	4	11824	33	251	269
0	5	11824	33	248	272
0	6	11823	34	245	275
0	7	11822	35	245	275
0	8	11822	35	244	276
0	9	11821	36	242	278
1	0	11839	18	322	197
1	1	11831	26	295	224
1	2	11827	30	284	235
1	3	11825	32	277	242
1	4	11825	32	273	246
1	5	11824	33	271	248
1	6	11824	33	271	248
1	7	11823	34	271	248
1	8	11823	34	270	249
1	9	11823	34	270	249
2	0	11838	19	316	201
2	1	11832	25	285	232
2	2	11831	26	278	239
2	3	11828	29	274	243
2	4	11828	29	272	245
2	5	11827	30	272	245
2	6	11826	31	270	247
2	7	11824	33	270	247
2	8	11824	33	268	249
2	9	11822	35	265	252
3	0	11838	19	319	196
3	1	11833	24	285	230
3	2	11830	27	279	236
3	3	11830	27	275	240
3	4	11829	28	273	242
3	5	11829	28	272	243
3	6	11829	28	272	243
3	7	11827	30	271	244
3	8	11827	30	270	245
3	9	11825	32	269	246
4	0	11836	21	326	188
4	1	11831	26	284	230
4	2	11822	35	274	240
4	3	11822	35	270	244
4	4	11822	35	269	245
4	5	11820	37	269	245
4	6	11820	37	268	246
4	7	11820	37	268	246
4	8	11820	37	267	247
4	9	11820	37	267	247
