fold	level	tn	fp	fn	tp
0	0	4154702	87787	32212	6254
0	1	4066055	176434	30442	8024
0	2	4010046	232443	29547	8919
0	3	3971331	271158	28995	9471
0	4	3944926	297563	28598	9868
0	5	3926438	316051	28295	10171
0	6	3912124	330365	28112	10354
0	7	3900671	341818	27951	10515
0	8	3891649	350840	27801	10665
0	9	3884597	357892	27673	10793
1	0	4150780	91709	32002	6441
1	1	4057275	185214	30321	8122
1	2	3998963	243526	29562	8881
1	3	3962794	279695	29047	9396
1	4	3937135	305354	28716	9727
1	5	3917878	324611	28382	10061
1	6	3902824	339665	28165	10278
1	7	3890257	352232	27921	10522
1	8	3880395	362094	27742	10701
1	9	3872891	369598	27568	10875
2	0	4152024	90465	31950	6475
2	1	4059562	182927	30238	8187
2	2	4002391	240098	29364	9061
2	3	3964656	277833	28894	9531
2	4	3939737	302752	28490	9935
2	5	3919939	322550	28178	10247
2	6	3904917	337572	27917	10508
2	7	3893852	348637	27670	10755
2	8	3884753	357736	27465	10960
2	9	3877696	364793	27329	11096
3	0	4154805	87684	31940	6459
3	1	4066371	176118	30149	8250
3	2	4007246	235243	29241	9158
3	3	3969399	273090	28610	9789
3	4	3942903	299586	28228	10171
3	5	3923569	318920	27898	10501
3	6	3909194	333295	27655	10744
3	7	3898976	343513	27462	10937
3	8	3891426	351063	27328	11071
3	9	3885487	357002	27210	11189
4	0	4153291	89198	31950	6435
4	1	4062793	179696	30284	8101
4	2	4007379	235110	29462	8923
4	3	3970690	271799	28940	9445
4	4	3945295	297194	28394	9991
4	5	3925843	316646	28047	10338
4	6	3911458	331031	27792	10593
4	7	3899807	342682	27578	10807
4	8	3891728	350761	27427	10958
4	9	3885563	356926	27347	11038
