fold	level	tn	fp	fn	tp
0	0	11340	261	91	48
0	1	11162	439	72	67
0	2	11012	589	65	74
0	3	10839	762	60	79
0	4	10726	875	59	80
0	5	10637	964	59	80
0	6	10562	1039	58	81
0	7	10478	1123	57	82
0	8	10402	1199	56	83
0	9	10325	1276	56	83
1	0	11351	250	86	48
1	1	11167	434	70	64
1	2	11008	593	62	72
1	3	10877	724	59	75
1	4	10746	855	57	77
1	5	10636	965	57	77
1	6	10538	1063	57	77
1	7	10452	1149	57	77
1	8	10383	1218	56	78
1	9	10338	1263	55	79
2	0	11343	258	78	53
2	1	11129	472	67	64
2	2	10954	647	59	72
2	3	10788	813	53	78
2	4	10684	917	51	80
2	5	10595	1006	50	81
2	6	10505	1096	50	81
2	7	10419	1182	50	81
2	8	10342	1259	50	81
2	9	10279	1322	50	81
3	0	11362	239	76	51
3	1	11159	442	69	58
3	2	10964	637	66	61
3	3	10807	794	62	65
3	4	10665	936	60	67
3	5	10549	1052	56	71
3	6	10456	1145	56	71
3	7	10386	1215	55	72
3	8	10325	1276	54	73
3	9	10267	1334	51	76
4	0	11376	225	81	42
4	1	11214	387	71	52
4	2	11052	549	63	60
4	3	10917	684	59	64
4	4	10828	773	58	65
4	5	10735	866	56	67
4	6	10635	966	54	69
4	7	10553	1048	53	70
4	8	10493	1108	53	70
4	9	10425	1176	53	70
