fold	level	tn	fp	fn	tp
0	0	1130836	27207	2116	1508
0	1	1115028	43015	1973	1651
0	2	1104344	53699	1902	1722
0	3	1095880	62163	1866	1758
0	4	1089120	68923	1839	1785
0	5	1084111	73932	1815	1809
0	6	1079540	78503	1796	1828
0	7	1075873	82170	1783	1841
0	8	1072449	85594	1768	1856
0	9	1069196	88847	1761	1863
1	0	1131308	26735	2091	1497
1	1	1114867	43176	1931	1657
1	2	1104190	53853	1859	1729
1	3	1094460	63583	1807	1781
1	4	1086763	71280	1779	1809
1	5	1081465	76578	1755	1833
1	6	1077080	80963	1728	1860
1	7	1074200	83843	1711	1877
1	8	1071450	86593	1704	1884
1	9	1068427	89616	1693	1895
2	0	1131536	26507	2077	1474
2	1	1115300	42743	1923	1628
2	2	1105339	52704	1848	1703
2	3	1096990	61053	1799	1752
2	4	1090378	67665	1766	1785
2	5	1085343	72700	1744	1807
2	6	1080922	77121	1726	1825
2	7	1077454	80589	1713	1838
2	8	1073958	84085	1708	1843
2	9	1070827	87216	1700	1851
3	0	1131507	26536	2043	1472
3	1	1115979	42064	1893	1622
3	2	1105811	52232	1819	1696
3	3	1096452	61591	1763	1752
3	4	1088997	69046	1731	1784
3	5	1084573	73470	1706	1809
3	6	1080585	77458	1691	1824
3	7	1076293	81750	1681	1834
3	8	1072043	86000	1664	1851
3	9	1068353	89690	1643	1872
4	0	1132212	25831	2076	1408
4	1	1115671	42372	1929	1555
4	2	1105113	52930	1859	1625
4	3	1096779	61264	1810	1674
4	4	1089319	68724	1773	1711
4	5	1082483	75560	1747	1737
4	6	1076462	81581	1726	1758
4	7	1071054	86989	1707	1777
4	8	1067310	90733	1693	1791
4	9	1064632	93411	1681	1803
