	embedding__1	embedding__2	embedding__3	embedding__4	embedding__5	embedding__6	embedding__7
embedding__1	1.0	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105
embedding__2	0.06907894736842105	1.0	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105
embedding__3	0.06907894736842105	0.06907894736842105	1.0	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105
embedding__4	0.06907894736842105	0.06907894736842105	0.06907894736842105	1.0	0.06907894736842105	0.06907894736842105	0.06907894736842105
embedding__5	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105	1.0	0.3125	0.13125
embedding__6	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.3125	1.0	0.06907894736842105
embedding__7	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.06907894736842105	0.13125	0.06907894736842105	1.0
