	embedding	embedding_weak	embedding_weak_chi2	proba	proba_weak
embedding	1.0	0.7231369454520108	0.8435263178819294	0.004821649573862219	0.31232235524917495
embedding_weak	0.7231369454520108	1.0	0.9	0.001	0.016000372450670097
embedding_weak_chi2	0.8435263178819294	0.9	1.0	0.001	0.03070016076946469
proba	0.004821649573862219	0.001	0.001	1.0	0.5224864721802169
proba_weak	0.31232235524917495	0.016000372450670097	0.03070016076946469	0.5224864721802169	1.0
