	embedding	embedding_weak	embedding_weak_chi2	proba	proba_weak
embedding	1.0	0.8422041560714817	0.9	0.21630856398802434	0.013547616102204452
embedding_weak	0.8422041560714817	1.0	0.9	0.01653739826324996	0.001
embedding_weak_chi2	0.9	0.9	1.0	0.05905743955100806	0.0018562256091857465
proba	0.21630856398802434	0.01653739826324996	0.05905743955100806	1.0	0.8070088666473484
proba_weak	0.013547616102204452	0.001	0.0018562256091857465	0.8070088666473484	1.0
