	embedding	embedding_weak	embedding_weak_chi2	proba	proba_weak
embedding	1.0	0.6310240265813223	0.7014183733250922	0.007252569109660656	0.41305456585507005
embedding_weak	0.6310240265813223	1.0	0.9	0.001	0.01653739826324996
embedding_weak_chi2	0.7014183733250922	0.9	1.0	0.001	0.024319178772926664
proba	0.007252569109660656	0.001	0.001	1.0	0.4895597741389368
proba_weak	0.41305456585507005	0.01653739826324996	0.024319178772926664	0.4895597741389368	1.0
