	embedding_weak_chi2	proba_weak	embedding_weak	proba	embedding
embedding_weak_chi2	1.0	0.07047640293821211	0.9	0.1154003029882752	0.9
proba_weak	0.07047640293821211	1.0	0.07047640293821211	0.9	0.07047640293821211
embedding_weak	0.9	0.07047640293821211	1.0	0.1154003029882752	0.9
proba	0.1154003029882752	0.9	0.1154003029882752	1.0	0.1154003029882752
embedding	0.9	0.07047640293821211	0.9	0.1154003029882752	1.0
