dataset	estimator	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
genbase	proba_weak	<b>18.42 (0.32)</b>	<b>0.4 (0.0)</b>	<b>0.0 (0.0)</b>	2.86 (0.07)	0.44 (0.26)	0.0 (0.0)	<b>0.69 (0.06)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.76 (0.06)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.85 (0.04)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.73 (0.06)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.82 (0.05)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.67 (0.07)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.73 (0.06)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.72 (0.06)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.75 (0.06)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.86 (0.06)</b>	<b>0.72 (0.18)</b>	<b>0.0 (0.0)</b>	0.94 (0.02)	0.32 (0.18)	0.0 (0.0)	<b>0.73 (0.06)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.91 (0.05)</b>	<b>0.64 (0.17)</b>	<b>0.0 (0.0)</b>	<b>0.74 (0.07)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.77 (0.06)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.75 (0.06)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.77 (0.06)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>
mediamill	embedding	<b>2311.59 (80.61)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	62.91 (5.47)	0.32 (0.18)	0.0 (0.0)	<b>0.07 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	0.04 (0.0)	0.2 (0.0)	0.0 (0.0)	<b>0.5 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.49 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	0.36 (0.0)	0.2 (0.0)	0.0 (0.0)	0.03 (0.0)	0.2 (0.0)	0.0 (0.0)	<b>0.33 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.38 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	0.3 (0.0)	0.2 (0.0)	0.0 (0.0)	<b>0.1 (0.01)</b>	<b>0.52 (0.18)</b>	<b>0.0 (0.0)</b>	<b>0.78 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.75 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.54 (0.02)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>	0.03 (0.0)	0.2 (0.0)	0.0 (0.0)	0.37 (0.0)	0.2 (0.0)	0.0 (0.0)	0.39 (0.0)	0.2 (0.0)	0.0 (0.0)	0.37 (0.0)	0.2 (0.0)	0.0 (0.0)
mediamill	embedding_weak	2527.47 (54.08)	0.88 (0.11)	0.4 (0.55)	70.65 (7.5)	0.76 (0.33)	0.6 (0.55)	0.02 (0.0)	0.28 (0.11)	0.0 (0.0)	<b>0.09 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	0.25 (0.0)	0.28 (0.11)	0.0 (0.0)	0.34 (0.0)	0.32 (0.11)	0.0 (0.0)	<b>0.42 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.05 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	0.14 (0.0)	0.28 (0.11)	0.0 (0.0)	0.24 (0.0)	0.28 (0.11)	0.0 (0.0)	<b>0.33 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	0.09 (0.0)	0.36 (0.17)	0.0 (0.0)	0.17 (0.0)	0.28 (0.11)	0.0 (0.0)	0.41 (0.01)	0.28 (0.11)	0.0 (0.0)	0.49 (0.01)	0.32 (0.11)	0.0 (0.0)	<b>0.33 (0.01)</b>	<b>0.76 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.47 (0.0)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.48 (0.0)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.47 (0.0)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>
mediamill	embedding_weak_chi2	2540.6 (29.38)	0.92 (0.11)	0.6 (0.55)	71.9 (8.04)	0.76 (0.33)	0.4 (0.55)	0.02 (0.0)	0.32 (0.11)	0.0 (0.0)	<b>0.09 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.25 (0.0)	0.32 (0.11)	0.0 (0.0)	0.34 (0.0)	0.28 (0.11)	0.0 (0.0)	<b>0.43 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.05 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.14 (0.0)	0.32 (0.11)	0.0 (0.0)	0.24 (0.0)	0.32 (0.11)	0.0 (0.0)	<b>0.33 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.09 (0.0)	0.32 (0.11)	0.0 (0.0)	0.17 (0.0)	0.32 (0.11)	0.0 (0.0)	0.41 (0.01)	0.32 (0.11)	0.0 (0.0)	0.49 (0.01)	0.28 (0.11)	0.0 (0.0)	<b>0.32 (0.02)</b>	<b>0.64 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.47 (0.01)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.48 (0.01)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.47 (0.01)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>
mediamill	proba	<b>908.61 (34.33)</b>	<b>0.2 (0.0)</b>	<b>0.0 (0.0)</b>	64.68 (4.3)	0.56 (0.22)	0.0 (0.0)	<b>0.1 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.1 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.57 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.54 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.49 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.07 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.4 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.43 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.39 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.27 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.77 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.74 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.66 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	0.08 (0.0)	0.4 (0.0)	0.0 (0.0)	0.45 (0.0)	0.4 (0.0)	0.0 (0.0)	0.47 (0.0)	0.4 (0.0)	0.0 (0.0)	0.45 (0.0)	0.4 (0.0)	0.0 (0.0)
mediamill	proba_weak	<b>1279.44 (20.73)</b>	<b>0.4 (0.0)</b>	<b>0.0 (0.0)</b>	67.72 (2.89)	0.6 (0.2)	0.0 (0.0)	<b>0.03 (0.0)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.13 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.32 (0.0)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.4 (0.01)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.51 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.08 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.19 (0.0)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.29 (0.01)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.39 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.12 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.22 (0.0)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.46 (0.02)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.0)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.42 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.55 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.54 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.55 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>
medical	embedding	<b>68.66 (1.34)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	4.0 (0.34)	0.76 (0.26)	0.4 (0.55)	<b>0.2 (0.02)</b>	<b>0.76 (0.22)</b>	<b>0.4 (0.55)</b>	0.06 (0.01)	0.4 (0.0)	0.0 (0.0)	<b>0.35 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.22 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.23 (0.02)</b>	<b>0.44 (0.09)</b>	<b>0.0 (0.0)</b>	0.05 (0.0)	0.4 (0.0)	0.0 (0.0)	<b>0.21 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.2 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.2 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	0.09 (0.03)	0.24 (0.09)	0.0 (0.0)	<b>0.89 (0.05)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.24 (0.02)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.31 (0.08)	0.32 (0.18)	0.0 (0.0)	0.05 (0.0)	0.4 (0.0)	0.0 (0.0)	<b>0.21 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.2 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.21 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>
medical	embedding_weak	75.22 (0.38)	0.84 (0.09)	0.2 (0.45)	3.66 (0.14)	0.36 (0.26)	0.0 (0.0)	<b>0.19 (0.01)</b>	<b>0.78 (0.23)</b>	<b>0.2 (0.45)</b>	<b>0.11 (0.03)</b>	<b>0.8 (0.14)</b>	<b>0.2 (0.45)</b>	<b>0.37 (0.03)</b>	<b>0.76 (0.26)</b>	<b>0.4 (0.55)</b>	<b>0.23 (0.02)</b>	<b>0.76 (0.26)</b>	<b>0.4 (0.55)</b>	<b>0.28 (0.02)</b>	<b>0.72 (0.23)</b>	<b>0.2 (0.45)</b>	<b>0.08 (0.02)</b>	<b>0.8 (0.14)</b>	<b>0.2 (0.45)</b>	<b>0.23 (0.02)</b>	<b>0.76 (0.26)</b>	<b>0.4 (0.55)</b>	<b>0.21 (0.02)</b>	<b>0.76 (0.22)</b>	<b>0.2 (0.45)</b>	<b>0.23 (0.02)</b>	<b>0.76 (0.26)</b>	<b>0.4 (0.55)</b>	<b>0.22 (0.06)</b>	<b>0.68 (0.18)</b>	<b>0.0 (0.0)</b>	<b>0.8 (0.03)</b>	<b>0.44 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.26 (0.02)</b>	<b>0.76 (0.26)</b>	<b>0.4 (0.55)</b>	0.46 (0.07)	0.68 (0.3)	0.2 (0.45)	<b>0.09 (0.02)</b>	<b>0.76 (0.17)</b>	<b>0.2 (0.45)</b>	<b>0.24 (0.02)</b>	<b>0.76 (0.26)</b>	<b>0.4 (0.55)</b>	<b>0.23 (0.03)</b>	<b>0.78 (0.25)</b>	<b>0.4 (0.55)</b>	<b>0.24 (0.02)</b>	<b>0.76 (0.26)</b>	<b>0.4 (0.55)</b>
medical	embedding_weak_chi2	75.38 (2.7)	0.96 (0.09)	0.8 (0.45)	4.18 (0.92)	0.56 (0.36)	0.2 (0.45)	<b>0.19 (0.01)</b>	<b>0.62 (0.27)</b>	<b>0.2 (0.45)</b>	<b>0.11 (0.02)</b>	<b>0.64 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.37 (0.01)</b>	<b>0.76 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.24 (0.01)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.28 (0.02)</b>	<b>0.76 (0.17)</b>	<b>0.2 (0.45)</b>	<b>0.08 (0.01)</b>	<b>0.64 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.23 (0.01)</b>	<b>0.76 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.21 (0.01)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.23 (0.01)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.21 (0.07)</b>	<b>0.72 (0.18)</b>	<b>0.2 (0.45)</b>	<b>0.82 (0.06)</b>	<b>0.6 (0.14)</b>	<b>0.0 (0.0)</b>	<b>0.26 (0.01)</b>	<b>0.72 (0.23)</b>	<b>0.2 (0.45)</b>	0.44 (0.12)	0.6 (0.24)	0.2 (0.45)	<b>0.09 (0.01)</b>	<b>0.68 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.24 (0.01)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.23 (0.02)</b>	<b>0.7 (0.1)</b>	<b>0.0 (0.0)</b>	<b>0.24 (0.01)</b>	<b>0.72 (0.11)</b>	<b>0.0 (0.0)</b>
medical	proba	<b>16.29 (0.17)</b>	<b>0.2 (0.0)</b>	<b>0.0 (0.0)</b>	3.79 (0.04)	0.52 (0.18)	0.0 (0.0)	0.1 (0.03)	0.2 (0.0)	0.0 (0.0)	0.04 (0.01)	0.2 (0.0)	0.0 (0.0)	0.17 (0.04)	0.2 (0.0)	0.0 (0.0)	0.09 (0.02)	0.2 (0.0)	0.0 (0.0)	0.15 (0.02)	0.2 (0.0)	0.0 (0.0)	0.03 (0.01)	0.2 (0.0)	0.0 (0.0)	0.09 (0.02)	0.2 (0.0)	0.0 (0.0)	0.08 (0.02)	0.2 (0.0)	0.0 (0.0)	0.09 (0.02)	0.2 (0.0)	0.0 (0.0)	0.15 (0.05)	0.4 (0.14)	0.0 (0.0)	<b>0.9 (0.05)</b>	<b>0.84 (0.17)</b>	<b>0.4 (0.55)</b>	0.1 (0.03)	0.2 (0.0)	0.0 (0.0)	0.41 (0.1)	0.6 (0.37)	0.4 (0.55)	0.03 (0.01)	0.2 (0.0)	0.0 (0.0)	0.1 (0.02)	0.2 (0.0)	0.0 (0.0)	0.08 (0.02)	0.2 (0.0)	0.0 (0.0)	0.1 (0.02)	0.2 (0.0)	0.0 (0.0)
medical	proba_weak	<b>20.36 (0.38)</b>	<b>0.4 (0.0)</b>	<b>0.0 (0.0)</b>	3.93 (0.03)	0.8 (0.2)	0.4 (0.55)	<b>0.17 (0.04)</b>	<b>0.64 (0.21)</b>	<b>0.0 (0.0)</b>	<b>0.18 (0.05)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	<b>0.36 (0.04)</b>	<b>0.8 (0.28)</b>	<b>0.6 (0.55)</b>	<b>0.24 (0.04)</b>	<b>0.84 (0.26)</b>	<b>0.6 (0.55)</b>	<b>0.32 (0.05)</b>	<b>0.88 (0.18)</b>	<b>0.6 (0.55)</b>	<b>0.12 (0.03)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	<b>0.22 (0.03)</b>	<b>0.8 (0.28)</b>	<b>0.6 (0.55)</b>	<b>0.21 (0.03)</b>	<b>0.88 (0.27)</b>	<b>0.8 (0.45)</b>	<b>0.23 (0.03)</b>	<b>0.84 (0.26)</b>	<b>0.6 (0.55)</b>	<b>0.29 (0.07)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	0.59 (0.09)	0.2 (0.0)	0.0 (0.0)	<b>0.25 (0.04)</b>	<b>0.8 (0.24)</b>	<b>0.4 (0.55)</b>	0.5 (0.09)	0.8 (0.14)	0.2 (0.45)	<b>0.18 (0.06)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	<b>0.27 (0.04)</b>	<b>0.84 (0.26)</b>	<b>0.6 (0.55)</b>	<b>0.26 (0.04)</b>	<b>0.84 (0.26)</b>	<b>0.6 (0.55)</b>	<b>0.27 (0.04)</b>	<b>0.84 (0.26)</b>	<b>0.6 (0.55)</b>
rcv1subset1	embedding	<b>1175.14 (15.98)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>258.17 (5.47)</b>	<b>0.76 (0.17)</b>	<b>0.2 (0.45)</b>	0.0 (0.0)	0.46 (0.05)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)
rcv1subset1	embedding_weak	1362.75 (14.59)	0.96 (0.09)	0.8 (0.45)	259.87 (5.9)	0.88 (0.18)	0.6 (0.55)	0.0 (0.0)	0.46 (0.05)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)
rcv1subset1	embedding_weak_chi2	1358.29 (4.59)	0.84 (0.09)	0.2 (0.45)	<b>258.78 (5.43)</b>	<b>0.76 (0.17)</b>	<b>0.2 (0.45)</b>	0.0 (0.0)	0.46 (0.05)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)	0.0 (0.0)	0.4 (0.0)	0.0 (0.0)
rcv1subset1	proba	<b>107.14 (5.54)</b>	<b>0.2 (0.0)</b>	<b>0.0 (0.0)</b>	<b>16.79 (0.46)</b>	<b>0.28 (0.11)</b>	<b>0.0 (0.0)</b>	0.0 (0.0)	1.0 (0.0)	1.0 (0.0)	<b>0.0 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.01)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	<b>0.03 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.01)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	<b>0.02 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.03 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.55 (0.08)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.05 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.17 (0.03)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	<b>0.0 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.02 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>
rcv1subset1	proba_weak	<b>298.99 (4.71)</b>	<b>0.4 (0.0)</b>	<b>0.0 (0.0)</b>	<b>16.76 (0.21)</b>	<b>0.32 (0.11)</b>	<b>0.0 (0.0)</b>	0.0 (0.0)	0.62 (0.16)	0.0 (0.0)	<b>0.06 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.08 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.02 (0.01)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.08 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.03 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.04 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.01 (0.0)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.04 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.06 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.08 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.01 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.11 (0.03)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.13 (0.03)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.09 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.06 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.09 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>
scene	embedding	<b>150.7 (2.97)</b>	<b>0.64 (0.09)</b>	<b>0.0 (0.0)</b>	<b>4.21 (0.51)</b>	<b>0.76 (0.22)</b>	<b>0.4 (0.55)</b>	0.47 (0.02)	0.2 (0.0)	0.0 (0.0)	0.62 (0.02)	0.2 (0.0)	0.0 (0.0)	0.62 (0.02)	0.2 (0.0)	0.0 (0.0)	0.5 (0.02)	0.2 (0.0)	0.0 (0.0)	0.61 (0.02)	0.24 (0.09)	0.0 (0.0)	0.46 (0.02)	0.2 (0.0)	0.0 (0.0)	0.45 (0.02)	0.2 (0.0)	0.0 (0.0)	0.49 (0.02)	0.2 (0.0)	0.0 (0.0)	0.45 (0.02)	0.2 (0.0)	0.0 (0.0)	<b>0.87 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.88 (0.02)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	0.51 (0.02)	0.2 (0.0)	0.0 (0.0)	<b>0.86 (0.01)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	0.49 (0.02)	0.2 (0.0)	0.0 (0.0)	0.48 (0.02)	0.2 (0.0)	0.0 (0.0)	0.49 (0.02)	0.2 (0.0)	0.0 (0.0)	0.48 (0.02)	0.2 (0.0)	0.0 (0.0)
