score	embedding	embedding__drop30	embedding__drop50	embedding__drop80	embedding_weak	embedding_weak__drop30	embedding_weak__drop50	embedding_weak__drop80	proba	proba__drop30	proba__drop50	proba__drop80	proba_weak	proba_weak__drop30	proba_weak__drop50	proba_weak__drop80
fit_time	0.6982142857142857	0.6839285714285714	0.6767857142857143	0.6571428571428571	0.8482142857142857	0.8660714285714286	0.9357142857142857	0.7625	0.11	0.19625	0.25875	0.2775	0.44125	0.5375	0.5875	0.6375
score_time	0.8464285714285714	0.7741071428571429	0.7910714285714285	0.6678571428571428	0.8017857142857143	0.7741071428571429	0.8160714285714286	0.5607142857142857	0.41375	0.41875	0.3825	0.29625	0.4475	0.41625	0.4	0.3659090909090909
test_accuracy	0.8944302721088436	0.6385368663594471	0.3568638392857143	0.24087846677132393	0.8802426739926741	0.6455933179723502	0.3461473050758765	0.22262717121588088	0.8360393772893773	0.623804945054945	0.42162316849816844	0.26959478021978023	0.8209111721611722	0.6222985347985348	0.4424748168498169	0.3613469863469863
test_average_precision	0.8439625850340136	0.6949884792626728	0.44308035714285715	0.10360413396127682	0.8497710622710622	0.6503456221198156	0.45877812663526946	0.09723945409429281	0.8677060439560439	0.660989010989011	0.4594505494505494	0.19105311355311355	0.8357829670329671	0.6944001831501833	0.45220695970695973	0.30105727605727606
test_f1_macro	0.8697278911564625	0.5983582949308756	0.31612723214285715	0.1729918890633176	0.8631933542647828	0.6160714285714285	0.3146749084249085	0.153613523573201	0.851158424908425	0.6758104395604395	0.4591804029304029	0.23977335164835165	0.8587087912087913	0.6600755494505495	0.5089835164835165	0.3558087745587746
test_f1_micro	0.8992902930402931	0.621831797235023	0.31515066964285715	0.15508895866038722	0.9039540816326531	0.6339285714285715	0.3347560177917321	0.14911600496277916	0.8630334249084249	0.65617673992674	0.4611652930402931	0.24217490842490844	0.8576968864468865	0.6560485347985348	0.4683585164835165	0.334057609057609
test_f1_samples	0.9136904761904763	0.6359447004608295	0.314453125	0.14794610151753007	0.8949110413396127	0.6430011520737328	0.33058935112506543	0.15113213399503722	0.8639468864468864	0.66492673992674	0.4659867216117216	0.22904990842490844	0.8436584249084249	0.6416735347985347	0.4733585164835165	0.3440954878454879
test_f1_weighted	0.8954212454212455	0.6097350230414746	0.30831473214285715	0.1586603872318158	0.8935374149659865	0.6238479262672811	0.3329703035060178	0.1470998759305211	0.869908424908425	0.65742673992674	0.4605402930402931	0.24529990842490842	0.8564468864468864	0.6654235347985348	0.4802335164835165	0.33178488178488175
test_jaccard_macro	0.8620748299319728	0.612471198156682	0.318359375	0.17537284144427	0.868805599162742	0.6157834101382489	0.3146749084249085	0.153613523573201	0.849908424908425	0.6643818681318682	0.4587637362637363	0.24269001831501832	0.8615659340659341	0.6563255494505494	0.5102335164835164	0.35542998667998665
test_jaccard_micro	0.8992902930402931	0.621831797235023	0.31515066964285715	0.15508895866038722	0.9039540816326531	0.6339285714285715	0.3347560177917321	0.14911600496277916	0.8630334249084249	0.65617673992674	0.4611652930402931	0.24217490842490844	0.8576968864468865	0.6560485347985348	0.4683585164835165	0.334057609057609
test_jaccard_samples	0.9083333333333333	0.6379608294930876	0.31640625	0.14794610151753007	0.9020538984824699	0.6480414746543779	0.32880363683935115	0.15113213399503722	0.8614468864468864	0.67242673992674	0.45723672161172163	0.22529990842490843	0.8486584249084249	0.6410485347985347	0.4708585164835165	0.3440954878454879
