score	embedding	embedding__drop30	embedding__drop50	embedding__drop80	embedding_weak	embedding_weak__drop30	embedding_weak__drop50	embedding_weak__drop80	proba	proba__drop30	proba__drop50	proba__drop80	proba_weak	proba_weak__drop30	proba_weak__drop50	proba_weak__drop80
fit_time	0.6785714285714286	0.6964285714285714	0.6696428571428571	0.6607142857142857	0.8571428571428571	0.8571428571428571	0.9464285714285714	0.7767857142857143	0.09375	0.1875	0.2625	0.26875	0.4375	0.53125	0.6125	0.6420454545454546
score_time	0.8660714285714286	0.78125	0.7544642857142857	0.6785714285714286	0.7678571428571429	0.8169642857142857	0.7767857142857143	0.5223214285714286	0.48125	0.41875	0.41875	0.25625	0.45625	0.41875	0.4	0.3409090909090909
test_accuracy	0.9151785714285714	0.65625	0.40625	0.26785714285714285	0.90625	0.6428571428571429	0.3080357142857143	0.17857142857142858	0.84375	0.60625	0.45	0.2125	0.821875	0.640625	0.46875	0.32670454545454547
test_average_precision	0.9017857142857143	0.7321428571428571	0.38392857142857145	0.125	0.875	0.6428571428571429	0.42857142857142855	0.08928571428571429	0.9125	0.69375	0.425	0.16875	0.88125	0.63125	0.43125	0.30113636363636365
test_f1_macro	0.875	0.625	0.33035714285714285	0.14285714285714285	0.8660714285714286	0.5982142857142857	0.33482142857142855	0.14285714285714285	0.88125	0.6875	0.4625	0.21875	0.85625	0.65625	0.50625	0.35511363636363635
test_f1_micro	0.9107142857142857	0.6428571428571429	0.3392857142857143	0.14285714285714285	0.9017857142857143	0.6517857142857143	0.34375	0.13392857142857142	0.8875	0.65625	0.4625	0.215625	0.84375	0.6375	0.4875	0.32954545454545453
test_f1_samples	0.9285714285714286	0.6517857142857143	0.3392857142857143	0.125	0.8928571428571429	0.6428571428571429	0.34375	0.13392857142857142	0.89375	0.64375	0.48125	0.209375	0.83125	0.6375	0.475	0.3522727272727273
test_f1_weighted	0.9017857142857143	0.625	0.33035714285714285	0.15178571428571427	0.8928571428571429	0.6428571428571429	0.35267857142857145	0.125	0.8875	0.66875	0.48125	0.225	0.85625	0.6375	0.475	0.3210227272727273
test_jaccard_macro	0.875	0.6428571428571429	0.33035714285714285	0.14285714285714285	0.8660714285714286	0.6160714285714286	0.33482142857142855	0.14285714285714285	0.88125	0.6875	0.4625	0.21875	0.85625	0.63125	0.50625	0.35511363636363635
test_jaccard_micro	0.9107142857142857	0.6428571428571429	0.3392857142857143	0.14285714285714285	0.9017857142857143	0.6517857142857143	0.34375	0.13392857142857142	0.8875	0.65625	0.4625	0.215625	0.84375	0.6375	0.4875	0.32954545454545453
test_jaccard_samples	0.9017857142857143	0.6517857142857143	0.3392857142857143	0.125	0.9196428571428571	0.6428571428571429	0.34375	0.13392857142857142	0.8875	0.64375	0.48125	0.203125	0.8375	0.63125	0.475	0.36363636363636365
test_jaccard_weighted	0.9107142857142857	0.6428571428571429	0.3392857142857143	0.14285714285714285	0.9017857142857143	0.6517857142857143	0.34375	0.13392857142857142	0.88125	0.65625	0.4625	0.215625	0.85	0.6375	0.4875	0.32954545454545453
test_precision_macro	0.8169642857142857	0.6294642857142857	0.3125	0.13839285714285715	0.7455357142857143	0.6116071428571429	0.35267857142857145	0.14732142857142858	0.7625	0.74375	0.46875	0.28125	0.784375	0.746875	0.56875	0.3778409090909091
test_precision_micro	0.5625	0.7544642857142857	0.5267857142857143	0.28125	0.5267857142857143	0.71875	0.49107142857142855	0.21428571428571427	0.403125	0.596875	0.63125	0.553125	0.50625	0.65	0.653125	0.5028409090909091
test_precision_samples	0.9553571428571429	0.65625	0.33035714285714285	0.12946428571428573	0.8928571428571429	0.6383928571428571	0.35267857142857145	0.13392857142857142	0.85625	0.659375	0.51875	0.2125	0.825	0.609375	0.4625	0.35795454545454547
test_precision_weighted	0.8303571428571429	0.625	0.32589285714285715	0.14285714285714285	0.7946428571428571	0.6205357142857143	0.33035714285714285	0.14285714285714285	0.74375	0.66875	0.55625	0.3	0.76875	0.70625	0.596875	0.35511363636363635
test_recall_macro	0.875	0.6339285714285714	0.33035714285714285	0.14285714285714285	0.8571428571428571	0.625	0.33482142857142855	0.14285714285714285	0.88125	0.6875	0.4625	0.21875	0.8625	0.63125	0.50625	0.35511363636363635
test_recall_micro	0.9017857142857143	0.6428571428571429	0.33482142857142855	0.14285714285714285	0.9017857142857143	0.6517857142857143	0.34375	0.13392857142857142	0.89375	0.659375	0.4625	0.215625	0.84375	0.6375	0.4875	0.32954545454545453
test_recall_samples	0.9017857142857143	0.6517857142857143	0.3392857142857143	0.125	0.9196428571428571	0.6428571428571429	0.34375	0.13392857142857142	0.88125	0.65625	0.48125	0.203125	0.85625	0.63125	0.475	0.3409090909090909
test_recall_weighted	0.9017857142857143	0.6428571428571429	0.33482142857142855	0.14285714285714285	0.9017857142857143	0.6517857142857143	0.34375	0.13392857142857142	0.89375	0.659375	0.4625	0.215625	0.84375	0.6375	0.4875	0.32954545454545453
