dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
Corel5k	proba__1	44.95 (0.42)	0.18 (0.04)	0.0 (0.0)	41.25 (0.8)	0.2 (0.0)	0.0 (0.0)	3.7 (0.5)	0.18 (0.13)	0.0 (0.0)	0.01 (0.0)	0.22 (0.08)	0.0 (0.0)	0.02 (0.0)	0.1 (0.0)	0.0 (0.0)	0.07 (0.0)	0.1 (0.0)	0.0 (0.0)	0.05 (0.0)	0.1 (0.0)	0.0 (0.0)	0.06 (0.0)	0.1 (0.0)	0.0 (0.0)	0.01 (0.0)	0.1 (0.0)	0.0 (0.0)	0.03 (0.0)	0.1 (0.0)	0.0 (0.0)	0.03 (0.0)	0.1 (0.0)	0.0 (0.0)	0.03 (0.0)	0.1 (0.0)	0.0 (0.0)	0.11 (0.02)	0.52 (0.36)	0.2 (0.45)	0.65 (0.04)	1.0 (0.0)	1.0 (0.0)	0.08 (0.0)	0.1 (0.0)	0.0 (0.0)	0.31 (0.04)	0.82 (0.25)	0.4 (0.55)	0.01 (0.0)	0.1 (0.0)	0.0 (0.0)	0.04 (0.0)	0.1 (0.0)	0.0 (0.0)	0.03 (0.0)	0.1 (0.0)	0.0 (0.0)	0.04 (0.0)	0.1 (0.0)	0.0 (0.0)
Corel5k	proba__10	83.1 (3.22)	1.0 (0.0)	1.0 (0.0)	77.42 (3.34)	1.0 (0.0)	1.0 (0.0)	5.68 (0.2)	1.0 (0.0)	1.0 (0.0)	0.01 (0.0)	0.42 (0.18)	0.0 (0.0)	0.03 (0.0)	0.34 (0.19)	0.0 (0.0)	0.18 (0.0)	0.8 (0.14)	0.0 (0.0)	0.15 (0.01)	0.92 (0.18)	0.8 (0.45)	0.13 (0.0)	0.66 (0.25)	0.0 (0.0)	0.02 (0.0)	0.36 (0.18)	0.0 (0.0)	0.1 (0.0)	0.8 (0.14)	0.0 (0.0)	0.11 (0.0)	0.86 (0.17)	0.4 (0.55)	0.08 (0.0)	0.68 (0.24)	0.0 (0.0)	0.09 (0.01)	0.28 (0.29)	0.0 (0.0)	0.39 (0.01)	0.16 (0.09)	0.0 (0.0)	0.27 (0.01)	0.9 (0.07)	0.2 (0.45)	0.25 (0.01)	0.2 (0.12)	0.0 (0.0)	0.02 (0.0)	0.46 (0.23)	0.0 (0.0)	0.11 (0.0)	0.88 (0.18)	0.6 (0.55)	0.11 (0.0)	0.88 (0.16)	0.4 (0.55)	0.11 (0.0)	0.88 (0.18)	0.6 (0.55)
Corel5k	proba__2	42.62 (1.64)	0.12 (0.04)	0.0 (0.0)	38.64 (1.89)	0.14 (0.09)	0.0 (0.0)	3.98 (0.46)	0.24 (0.11)	0.0 (0.0)	0.01 (0.0)	0.56 (0.34)	0.2 (0.45)	0.04 (0.0)	0.62 (0.32)	0.2 (0.45)	0.14 (0.01)	0.22 (0.04)	0.0 (0.0)	0.11 (0.01)	0.22 (0.04)	0.0 (0.0)	0.12 (0.01)	0.26 (0.09)	0.0 (0.0)	0.02 (0.0)	0.64 (0.34)	0.2 (0.45)	0.08 (0.0)	0.22 (0.04)	0.0 (0.0)	0.08 (0.0)	0.22 (0.04)	0.0 (0.0)	0.07 (0.01)	0.26 (0.09)	0.0 (0.0)	0.11 (0.02)	0.64 (0.36)	0.2 (0.45)	0.49 (0.03)	0.82 (0.13)	0.0 (0.0)	0.2 (0.01)	0.22 (0.04)	0.0 (0.0)	0.29 (0.02)	0.76 (0.29)	0.4 (0.55)	0.02 (0.0)	0.54 (0.34)	0.2 (0.45)	0.08 (0.01)	0.22 (0.04)	0.0 (0.0)	0.08 (0.01)	0.22 (0.04)	0.0 (0.0)	0.08 (0.01)	0.22 (0.04)	0.0 (0.0)
Corel5k	proba__3	48.28 (1.32)	0.3 (0.0)	0.0 (0.0)	44.04 (1.85)	0.26 (0.09)	0.0 (0.0)	4.25 (0.67)	0.36 (0.24)	0.0 (0.0)	0.01 (0.0)	0.68 (0.26)	0.0 (0.0)	0.04 (0.0)	0.68 (0.19)	0.0 (0.0)	0.16 (0.01)	0.38 (0.13)	0.0 (0.0)	0.13 (0.01)	0.34 (0.09)	0.0 (0.0)	0.13 (0.01)	0.44 (0.19)	0.0 (0.0)	0.02 (0.0)	0.72 (0.19)	0.2 (0.45)	0.09 (0.01)	0.38 (0.13)	0.0 (0.0)	0.09 (0.0)	0.36 (0.11)	0.0 (0.0)	0.08 (0.0)	0.44 (0.19)	0.0 (0.0)	0.11 (0.01)	0.6 (0.31)	0.2 (0.45)	0.45 (0.03)	0.72 (0.19)	0.0 (0.0)	0.22 (0.01)	0.34 (0.11)	0.0 (0.0)	0.28 (0.02)	0.66 (0.23)	0.0 (0.0)	0.02 (0.0)	0.64 (0.17)	0.0 (0.0)	0.1 (0.01)	0.34 (0.11)	0.0 (0.0)	0.1 (0.01)	0.34 (0.09)	0.0 (0.0)	0.1 (0.01)	0.34 (0.11)	0.0 (0.0)
Corel5k	proba__4	53.58 (0.79)	0.4 (0.0)	0.0 (0.0)	49.37 (0.84)	0.4 (0.0)	0.0 (0.0)	4.22 (0.13)	0.3 (0.07)	0.0 (0.0)	0.01 (0.0)	0.56 (0.26)	0.0 (0.0)	0.04 (0.0)	0.86 (0.17)	0.4 (0.55)	0.16 (0.01)	0.46 (0.21)	0.0 (0.0)	0.13 (0.0)	0.4 (0.1)	0.0 (0.0)	0.13 (0.0)	0.62 (0.23)	0.0 (0.0)	0.02 (0.0)	0.82 (0.15)	0.2 (0.45)	0.09 (0.0)	0.46 (0.21)	0.0 (0.0)	0.09 (0.0)	0.42 (0.11)	0.0 (0.0)	0.08 (0.0)	0.56 (0.23)	0.0 (0.0)	0.11 (0.01)	0.78 (0.19)	0.2 (0.45)	0.44 (0.02)	0.72 (0.15)	0.0 (0.0)	0.24 (0.01)	0.48 (0.13)	0.0 (0.0)	0.29 (0.02)	0.74 (0.19)	0.2 (0.45)	0.03 (0.0)	0.76 (0.27)	0.2 (0.45)	0.1 (0.0)	0.42 (0.11)	0.0 (0.0)	0.1 (0.0)	0.42 (0.11)	0.0 (0.0)	0.1 (0.0)	0.42 (0.11)	0.0 (0.0)
Corel5k	proba__5	58.02 (2.22)	0.5 (0.0)	0.0 (0.0)	53.49 (2.45)	0.5 (0.0)	0.0 (0.0)	4.53 (0.35)	0.48 (0.08)	0.0 (0.0)	0.01 (0.0)	0.8 (0.31)	0.6 (0.55)	0.04 (0.0)	0.62 (0.29)	0.2 (0.45)	0.16 (0.01)	0.5 (0.12)	0.0 (0.0)	0.14 (0.01)	0.52 (0.13)	0.0 (0.0)	0.13 (0.01)	0.52 (0.19)	0.0 (0.0)	0.02 (0.0)	0.64 (0.3)	0.2 (0.45)	0.09 (0.0)	0.5 (0.12)	0.0 (0.0)	0.1 (0.0)	0.52 (0.13)	0.0 (0.0)	0.08 (0.0)	0.52 (0.19)	0.0 (0.0)	0.11 (0.01)	0.54 (0.23)	0.0 (0.0)	0.42 (0.01)	0.5 (0.07)	0.0 (0.0)	0.24 (0.01)	0.44 (0.17)	0.0 (0.0)	0.27 (0.01)	0.46 (0.21)	0.0 (0.0)	0.02 (0.0)	0.62 (0.25)	0.2 (0.45)	0.1 (0.01)	0.5 (0.12)	0.0 (0.0)	0.1 (0.0)	0.52 (0.13)	0.0 (0.0)	0.1 (0.01)	0.5 (0.12)	0.0 (0.0)
Corel5k	proba__6	62.22 (2.44)	0.6 (0.0)	0.0 (0.0)	57.46 (2.74)	0.6 (0.0)	0.0 (0.0)	4.77 (0.38)	0.6 (0.12)	0.0 (0.0)	0.01 (0.0)	0.52 (0.31)	0.0 (0.0)	0.04 (0.0)	0.64 (0.24)	0.0 (0.0)	0.17 (0.01)	0.74 (0.31)	0.4 (0.55)	0.14 (0.01)	0.72 (0.2)	0.0 (0.0)	0.14 (0.01)	0.7 (0.37)	0.4 (0.55)	0.02 (0.0)	0.64 (0.24)	0.0 (0.0)	0.09 (0.01)	0.74 (0.31)	0.4 (0.55)	0.1 (0.01)	0.74 (0.31)	0.4 (0.55)	0.08 (0.0)	0.7 (0.37)	0.4 (0.55)	0.11 (0.01)	0.62 (0.22)	0.0 (0.0)	0.41 (0.02)	0.44 (0.26)	0.0 (0.0)	0.25 (0.01)	0.64 (0.11)	0.0 (0.0)	0.28 (0.02)	0.54 (0.25)	0.0 (0.0)	0.02 (0.0)	0.7 (0.29)	0.2 (0.45)	0.11 (0.01)	0.74 (0.23)	0.2 (0.45)	0.11 (0.01)	0.76 (0.29)	0.4 (0.55)	0.11 (0.01)	0.74 (0.23)	0.2 (0.45)
Corel5k	proba__7	68.43 (3.21)	0.7 (0.0)	0.0 (0.0)	63.44 (3.37)	0.7 (0.0)	0.0 (0.0)	4.99 (0.22)	0.72 (0.08)	0.0 (0.0)	0.01 (0.0)	0.7 (0.14)	0.0 (0.0)	0.03 (0.0)	0.62 (0.18)	0.0 (0.0)	0.18 (0.01)	0.78 (0.25)	0.4 (0.55)	0.15 (0.01)	0.72 (0.19)	0.0 (0.0)	0.14 (0.01)	0.84 (0.18)	0.4 (0.55)	0.02 (0.0)	0.6 (0.2)	0.0 (0.0)	0.1 (0.0)	0.78 (0.25)	0.4 (0.55)	0.11 (0.01)	0.72 (0.19)	0.0 (0.0)	0.08 (0.0)	0.82 (0.22)	0.4 (0.55)	0.11 (0.01)	0.62 (0.33)	0.2 (0.45)	0.42 (0.02)	0.52 (0.22)	0.0 (0.0)	0.27 (0.01)	0.8 (0.23)	0.4 (0.55)	0.27 (0.02)	0.56 (0.29)	0.0 (0.0)	0.02 (0.0)	0.66 (0.18)	0.0 (0.0)	0.11 (0.01)	0.74 (0.21)	0.0 (0.0)	0.11 (0.0)	0.72 (0.19)	0.0 (0.0)	0.11 (0.01)	0.74 (0.21)	0.0 (0.0)
Corel5k	proba__8	73.33 (2.7)	0.8 (0.0)	0.0 (0.0)	68.0 (2.89)	0.8 (0.0)	0.0 (0.0)	5.33 (0.2)	0.86 (0.05)	0.0 (0.0)	0.01 (0.0)	0.52 (0.33)	0.0 (0.0)	0.04 (0.01)	0.62 (0.33)	0.2 (0.45)	0.18 (0.01)	0.78 (0.16)	0.2 (0.45)	0.15 (0.01)	0.74 (0.15)	0.2 (0.45)	0.14 (0.01)	0.7 (0.22)	0.2 (0.45)	0.02 (0.0)	0.58 (0.33)	0.2 (0.45)	0.1 (0.01)	0.78 (0.16)	0.2 (0.45)	0.11 (0.01)	0.74 (0.15)	0.2 (0.45)	0.08 (0.01)	0.72 (0.19)	0.2 (0.45)	0.11 (0.01)	0.56 (0.21)	0.0 (0.0)	0.41 (0.01)	0.44 (0.11)	0.0 (0.0)	0.26 (0.02)	0.76 (0.18)	0.2 (0.45)	0.27 (0.02)	0.5 (0.28)	0.0 (0.0)	0.02 (0.0)	0.6 (0.35)	0.2 (0.45)	0.11 (0.01)	0.74 (0.15)	0.2 (0.45)	0.11 (0.01)	0.74 (0.15)	0.2 (0.45)	0.11 (0.01)	0.74 (0.15)	0.2 (0.45)
Corel5k	proba__9	78.69 (1.46)	0.9 (0.0)	0.0 (0.0)	73.46 (1.56)	0.9 (0.0)	0.0 (0.0)	5.23 (0.26)	0.76 (0.13)	0.0 (0.0)	0.01 (0.01)	0.52 (0.36)	0.2 (0.45)	0.03 (0.0)	0.4 (0.19)	0.0 (0.0)	0.17 (0.0)	0.74 (0.09)	0.0 (0.0)	0.15 (0.0)	0.82 (0.08)	0.0 (0.0)	0.13 (0.0)	0.66 (0.21)	0.0 (0.0)	0.02 (0.0)	0.4 (0.19)	0.0 (0.0)	0.09 (0.0)	0.74 (0.09)	0.0 (0.0)	0.11 (0.0)	0.82 (0.08)	0.0 (0.0)	0.08 (0.0)	0.7 (0.2)	0.0 (0.0)	0.09 (0.01)	0.34 (0.25)	0.0 (0.0)	0.39 (0.01)	0.18 (0.04)	0.0 (0.0)	0.27 (0.0)	0.82 (0.11)	0.2 (0.45)	0.25 (0.02)	0.26 (0.18)	0.0 (0.0)	0.02 (0.0)	0.42 (0.23)	0.0 (0.0)	0.11 (0.0)	0.82 (0.08)	0.0 (0.0)	0.11 (0.0)	0.8 (0.07)	0.0 (0.0)	0.11 (0.0)	0.82 (0.08)	0.0 (0.0)
