	embedding_weak_chi2	proba_weak	embedding_weak	proba	embedding
embedding_weak_chi2	1.0	0.4971255268182868	0.9	0.002942051328913786	0.07047640293824908
proba_weak	0.4971255268182868	1.0	0.6108102590220721	0.2659180922614556	0.8378224470053398
embedding_weak	0.9	0.6108102590220721	1.0	0.006071443763657536	0.11540030298827397
proba	0.002942051328913786	0.2659180922614556	0.006071443763657536	1.0	0.8378224470053398
embedding	0.07047640293824908	0.8378224470053398	0.11540030298827397	0.8378224470053398	1.0
