	embedding_weak_chi2	proba_weak	embedding_weak	proba	embedding
embedding_weak_chi2	1.0	0.49712552681828726	0.9	0.7243188684112065	0.49712552681828726
proba_weak	0.49712552681828726	1.0	0.9	0.9	0.011995854551952512
embedding_weak	0.9	0.9	1.0	0.9	0.1154003029882752
proba	0.7243188684112065	0.9	0.9	1.0	0.04090200577890224
embedding	0.49712552681828726	0.011995854551952512	0.1154003029882752	0.04090200577890224	1.0
