	cascade_tree_embedder	cascade_weak_label_tree_embedder	cascade_original
cascade_tree_embedder	1.0	0.5757282694533816	0.5757282694533816
cascade_weak_label_tree_embedder	0.5757282694533816	1.0	0.2114519907306598
cascade_original	0.5757282694533816	0.2114519907306598	1.0
