	proba_weak	proba_weak__drop30	proba_weak__drop50	proba_weak__drop80
proba_weak	1.0	1.0	1.0	0.3222819007082103
proba_weak__drop30	1.0	1.0	1.0	0.3222819007082103
proba_weak__drop50	1.0	1.0	1.0	0.32628493214763454
proba_weak__drop80	0.3222819007082103	0.3222819007082103	0.32628493214763454	1.0
