	embedding	embedding_weak	embedding_weak_chi2	proba	proba_weak
embedding	1.0	0.9	0.9	0.029306207949795104	0.04986135750624299
embedding_weak	0.9	1.0	0.9	0.002970836713688585	0.005838193806382841
embedding_weak_chi2	0.9	0.9	1.0	0.003737170144454516	0.007252569109660656
proba	0.029306207949795104	0.002970836713688585	0.003737170144454516	1.0	0.9
proba_weak	0.04986135750624299	0.005838193806382841	0.007252569109660656	0.9	1.0
