	embedding	embedding_weak	embedding_weak_chi2	proba	proba_weak
embedding	1.0	0.6310240265813225	0.19079307571764126	0.02010088917281916	0.5958291341628892
embedding_weak	0.6310240265813225	1.0	0.9	0.001	0.04198268804704064
embedding_weak_chi2	0.19079307571764126	0.9	1.0	0.001	0.002970836713688585
proba	0.02010088917281916	0.001	0.001	1.0	0.4895597741389368
proba_weak	0.5958291341628892	0.04198268804704064	0.002970836713688585	0.4895597741389368	1.0
