	proba_weak	proba_weak__drop30	proba_weak__drop50	proba_weak__drop80
proba_weak	1.0	1.0	1.0	1.0
proba_weak__drop30	1.0	1.0	1.0	0.8970708291899178
proba_weak__drop50	1.0	1.0	1.0	0.7325913829288047
proba_weak__drop80	1.0	0.8970708291899178	0.7325913829288047	1.0
