	cascade_tree_embedder	cascade_weak_label_tree_embedder	cascade_original
cascade_tree_embedder	1.0	0.7040000000000001	0.3323615160349851
cascade_weak_label_tree_embedder	0.7040000000000001	1.0	0.3556156167124425
cascade_original	0.3323615160349851	0.3556156167124425	1.0
