fold	level	tn	fp	fn	tp
0	0	23575	22	2006	48
0	1	23568	29	1980	74
0	2	23548	49	1968	86
0	3	23528	69	1954	100
0	4	23513	84	1947	107
0	5	23492	105	1937	117
0	6	23476	121	1929	125
0	7	23455	142	1923	131
0	8	23438	159	1916	138
0	9	23424	173	1914	140
1	0	23576	21	1994	59
1	1	23566	31	1980	73
1	2	23562	35	1967	86
1	3	23552	45	1959	94
1	4	23541	56	1949	104
1	5	23523	74	1938	115
1	6	23499	98	1931	122
1	7	23469	128	1928	125
1	8	23451	146	1920	133
1	9	23437	160	1909	144
2	0	23579	18	1997	52
2	1	23568	29	1967	82
2	2	23562	35	1949	100
2	3	23545	52	1939	110
2	4	23524	73	1926	123
2	5	23502	95	1916	133
2	6	23486	111	1910	139
2	7	23462	135	1906	143
2	8	23438	159	1893	156
2	9	23403	194	1884	165
3	0	23574	23	1994	50
3	1	23563	34	1979	65
3	2	23542	55	1963	81
3	3	23519	78	1939	105
3	4	23489	108	1930	114
3	5	23450	147	1923	121
3	6	23423	174	1918	126
3	7	23410	187	1914	130
3	8	23393	204	1908	136
3	9	23372	225	1902	142
4	0	23576	21	1988	53
4	1	23564	33	1972	69
4	2	23550	47	1963	78
4	3	23545	52	1949	92
4	4	23527	70	1934	107
4	5	23508	89	1922	119
4	6	23478	119	1918	123
4	7	23453	144	1909	132
4	8	23427	170	1908	133
4	9	23417	180	1904	137
