fold	level	tn	fp	fn	tp
0	0	11795	62	277	243
0	1	11738	119	249	271
0	2	11716	141	232	288
0	3	11700	157	220	300
0	4	11688	169	216	304
0	5	11680	177	214	306
0	6	11671	186	209	311
0	7	11665	192	201	319
0	8	11655	202	199	321
0	9	11645	212	198	322
1	0	11794	63	282	237
1	1	11733	124	245	274
1	2	11705	152	225	294
1	3	11691	166	218	301
1	4	11675	182	211	308
1	5	11666	191	210	309
1	6	11650	207	210	309
1	7	11636	221	207	312
1	8	11629	228	205	314
1	9	11620	237	204	315
2	0	11796	61	281	236
2	1	11736	121	242	275
2	2	11700	157	229	288
2	3	11685	172	222	295
2	4	11677	180	219	298
2	5	11667	190	215	302
2	6	11654	203	213	304
2	7	11646	211	212	305
2	8	11636	221	207	310
2	9	11630	227	206	311
3	0	11774	83	286	229
3	1	11725	132	247	268
3	2	11699	158	236	279
3	3	11685	172	232	283
3	4	11678	179	229	286
3	5	11666	191	222	293
3	6	11652	205	219	296
3	7	11644	213	217	298
3	8	11635	222	217	298
3	9	11625	232	217	298
4	0	11782	75	279	235
4	1	11721	136	245	269
4	2	11686	171	236	278
4	3	11663	194	234	280
4	4	11648	209	230	284
4	5	11637	220	226	288
4	6	11631	226	224	290
4	7	11623	234	219	295
4	8	11616	241	214	300
4	9	11606	251	214	300
