fold	level	tn	fp	fn	tp
0	0	4152131	90358	35030	3436
0	1	4058714	183775	34071	4395
0	2	3981483	261006	33496	4970
0	3	3921633	320856	33071	5395
0	4	3874040	368449	32766	5700
0	5	3834661	407828	32527	5939
0	6	3801083	441406	32284	6182
0	7	3773062	469427	32090	6376
0	8	3750256	492233	31941	6525
0	9	3731257	511232	31816	6650
1	0	4152262	90227	34974	3469
1	1	4058989	183500	33962	4481
1	2	3982576	259913	33404	5039
1	3	3920762	321727	32997	5446
1	4	3872085	370404	32725	5718
1	5	3830269	412220	32486	5957
1	6	3797022	445467	32314	6129
1	7	3769686	472803	32184	6259
1	8	3746802	495687	32081	6362
1	9	3726792	515697	31969	6474
2	0	4152708	89781	34941	3484
2	1	4057847	184642	33980	4445
2	2	3982660	259829	33459	4966
2	3	3922573	319916	33060	5365
2	4	3875368	367121	32763	5662
2	5	3836297	406192	32545	5880
2	6	3803165	439324	32339	6086
2	7	3775465	467024	32187	6238
2	8	3753149	489340	32052	6373
2	9	3734207	508282	31925	6500
3	0	4151163	91326	34873	3526
3	1	4057285	185204	33849	4550
3	2	3978547	263942	33285	5114
3	3	3920923	321566	32941	5458
3	4	3874374	368115	32677	5722
3	5	3836699	405790	32465	5934
3	6	3804636	437853	32231	6168
3	7	3776703	465786	32034	6365
3	8	3754390	488099	31879	6520
3	9	3735725	506764	31732	6667
4	0	4152793	89696	34941	3444
4	1	4057732	184757	33896	4489
4	2	3982582	259907	33306	5079
4	3	3923915	318574	32880	5505
4	4	3877032	365457	32588	5797
4	5	3838043	404446	32377	6008
4	6	3804797	437692	32193	6192
4	7	3777146	465343	32028	6357
4	8	3754246	488243	31889	6496
4	9	3735048	507441	31801	6584
