fold	level	tn	fp	fn	tp
0	0	4152547	89942	35028	3438
0	1	4059920	182569	34075	4391
0	2	3981717	260772	33516	4950
0	3	3920963	321526	33099	5367
0	4	3873400	369089	32807	5659
0	5	3833677	408812	32562	5904
0	6	3799294	443195	32327	6139
0	7	3772387	470102	32162	6304
0	8	3748455	494034	32003	6463
0	9	3727508	514981	31872	6594
1	0	4152494	89995	34964	3479
1	1	4059971	182518	33970	4473
1	2	3982441	260048	33375	5068
1	3	3919826	322663	33005	5438
1	4	3870906	371583	32700	5743
1	5	3830927	411562	32466	5977
1	6	3798280	444209	32270	6173
1	7	3772799	469690	32128	6315
1	8	3751340	491149	32005	6438
1	9	3732369	510120	31915	6528
2	0	4153070	89419	34969	3456
2	1	4057970	184519	33970	4455
2	2	3980496	261993	33370	5055
2	3	3921487	321002	32969	5456
2	4	3873980	368509	32668	5757
2	5	3835346	407143	32419	6006
2	6	3803389	439100	32242	6183
2	7	3776141	466348	32059	6366
2	8	3752828	489661	31937	6488
2	9	3733484	509005	31842	6583
3	0	4151196	91293	34878	3521
3	1	4056847	185642	33837	4562
3	2	3980128	262361	33243	5156
3	3	3920573	321916	32865	5534
3	4	3874297	368192	32563	5836
3	5	3836799	405690	32296	6103
3	6	3806056	436433	32070	6329
3	7	3780037	462452	31910	6489
3	8	3758678	483811	31749	6650
3	9	3740681	501808	31641	6758
4	0	4153073	89416	34916	3469
4	1	4059037	183452	33930	4455
4	2	3982515	259974	33335	5050
4	3	3920005	322484	32889	5496
4	4	3871856	370633	32603	5782
4	5	3832353	410136	32379	6006
4	6	3799028	443461	32196	6189
4	7	3769576	472913	32011	6374
4	8	3745010	497479	31868	6517
4	9	3724102	518387	31783	6602
