fold	level	tn	fp	fn	tp
0	0	2450	0	221	3
0	1	2450	0	221	3
0	2	2450	0	221	3
0	3	2450	0	221	3
0	4	2450	0	221	3
0	5	2450	0	221	3
0	6	2450	0	221	3
0	7	2450	0	221	3
0	8	2450	0	221	3
0	9	2450	0	221	3
1	0	2450	0	221	2
1	1	2450	0	221	2
1	2	2450	0	221	2
1	3	2450	0	221	2
1	4	2450	0	221	2
1	5	2450	0	221	2
1	6	2450	0	221	2
1	7	2450	0	221	2
1	8	2450	0	221	2
1	9	2450	0	221	2
2	0	2450	0	218	5
2	1	2450	0	217	6
2	2	2450	0	217	6
2	3	2450	0	217	6
2	4	2450	0	217	6
2	5	2450	0	216	7
2	6	2450	0	216	7
2	7	2450	0	216	7
2	8	2450	0	216	7
2	9	2450	0	216	7
3	0	2450	0	215	5
3	1	2450	0	215	5
3	2	2450	0	215	5
3	3	2450	0	215	5
3	4	2450	0	214	6
3	5	2450	0	214	6
3	6	2450	0	214	6
3	7	2450	0	214	6
3	8	2450	0	214	6
3	9	2450	0	214	6
4	0	2450	0	214	4
4	1	2450	0	214	4
4	2	2450	0	214	4
4	3	2450	0	214	4
4	4	2450	0	214	4
4	5	2450	0	214	4
4	6	2450	0	213	5
4	7	2450	0	213	5
4	8	2450	0	213	5
4	9	2450	0	213	5
