	proba__1	proba__10	proba__2	proba__3	proba__4	proba__5	proba__6	proba__7	proba__8	proba__9
proba__1	1.0	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05
proba__10	6.387400072674418e-05	1.0	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	0.00045779430213384586	6.387400072674418e-05
proba__2	6.387400072674418e-05	6.387400072674418e-05	1.0	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05
proba__3	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	1.0	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05
proba__4	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	1.0	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05
proba__5	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	1.0	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05
proba__6	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	1.0	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05
proba__7	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	1.0	6.387400072674418e-05	6.387400072674418e-05
proba__8	6.387400072674418e-05	0.00045779430213384586	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	1.0	0.0009573090274973487
proba__9	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	6.387400072674418e-05	0.0009573090274973487	1.0
