	proba__1	proba__10	proba__2	proba__3	proba__4	proba__5	proba__6	proba__7	proba__8	proba__9
proba__1	1.0	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05
proba__10	6.242231889204545e-05	1.0	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05
proba__2	6.242231889204545e-05	6.242231889204545e-05	1.0	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05
proba__3	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	1.0	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05
proba__4	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	1.0	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05
proba__5	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	1.0	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05
proba__6	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	1.0	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05
proba__7	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	1.0	6.242231889204545e-05	6.242231889204545e-05
proba__8	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	1.0	0.0001220703125
proba__9	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	6.242231889204545e-05	0.0001220703125	1.0
