	embedding_weak_chi2	proba_weak	embedding_weak	proba	embedding
embedding_weak_chi2	1.0	0.610810259022071	0.9	0.4971255268182875	0.9
proba_weak	0.610810259022071	1.0	0.49712552681828726	0.9	0.17946626445912217
embedding_weak	0.9	0.49712552681828726	1.0	0.3744368275294072	0.9
proba	0.4971255268182875	0.9	0.3744368275294072	1.0	0.11540030298827397
embedding	0.9	0.17946626445912217	0.9	0.11540030298827397	1.0
