	embedding	embedding_weak	proba	proba_weak
embedding	1.0	0.22499999999999998	0.09375	0.09375
embedding_weak	0.22499999999999998	1.0	0.09375	0.09375
proba	0.09375	0.09375	1.0	0.8125
proba_weak	0.09375	0.09375	0.8125	1.0
