	embedding	embedding_weak	embedding_weak_chi2	proba	proba_weak
embedding	1.0	0.9	0.6310240265813225	0.003737170144454516	0.30528468430211475
embedding_weak	0.9	1.0	0.9	0.001	0.0696132292463385
embedding_weak_chi2	0.6310240265813225	0.9	1.0	0.001	0.008968539439699885
proba	0.003737170144454516	0.001	0.001	1.0	0.4895597741389368
proba_weak	0.30528468430211475	0.0696132292463385	0.008968539439699885	0.4895597741389368	1.0
