	embedding	embedding_weak	embedding_weak_chi2	proba	proba_weak
embedding	1.0	0.7366167476562766	0.9	0.2437094886466038	0.2735418602925962
embedding_weak	0.7366167476562766	1.0	0.9	0.011047012649714305	0.013547616102204674
embedding_weak_chi2	0.9	0.9	1.0	0.11037147766853284	0.12712600382300776
proba	0.2437094886466038	0.011047012649714305	0.11037147766853284	1.0	0.9
proba_weak	0.2735418602925962	0.013547616102204674	0.12712600382300776	0.9	1.0
